Neighborhood,Longitude,Latitude,Weapon,1,2,3,4,5,6,7,8,9,10,11
"5300 High Crossing Blvd, Madison, WI, 53718",-89.289395,43.138873,Handgun,1,1,1,1,1,1,1,1,1,1,
"100 State St, Madison, WI, 53703",-89.386951,43.074737,Handgun,1,1,1,1,1,1,1,1,1,1,
"100 State St, Madison, WI, 53703",-89.386951,43.074737,Handgun,1,1,1,1,1,1,1,1,1,1,
"2900 Maple Grove Dr, Madison, WI, 53719",-89.498833,43.022035,Firearm(Type not stated),1,1,1,1,1,1,1,1,1,1,
"1 Kessel CT, Madison, WI, 53711",-89.4804,43.046429,Shotgun,1,1,1,1,1,1,1,1,1,1,
"1 Kessel CT, Madison, WI, 53711",-89.4804,43.046429,Shotgun,1,1,1,1,1,1,1,1,1,1,
"500 Oak St, Madison, WI, 53704",-89.343138,43.105197,Handgun,1,1,1,1,1,1,1,1,1,1,
"4200 Milwaukee St, Madison, WI, 53714",-89.31288,43.098541,Pellet/BB Gun (Pistols & Rifles),1,1,1,1,1,1,1,1,1,1,
"600 Cottage Grove Rd, Madison, WI, 53716",-89.316244,43.083968,Handgun,1,1,1,1,1,1,1,1,1,1,
"100 Andrew Way, Madison, WI, 53714",-89.290398,43.099974,Other Firearm,1,1,1,1,1,1,1,1,1,1,
"1900 E Mifflin St, Madison, WI, 53704",-89.360452,43.093072,Shotgun,1,1,1,1,1,1,1,1,1,1,
"1900 Northwestern Ave, Madison, WI, 53704",-89.359556,43.117946,Handgun,1,1,1,1,1,1,1,1,1,1,
"1900 Northwestern Ave, Madison, WI, 53704",-89.359556,43.117946,Handgun,1,1,1,1,1,1,1,1,1,1,
"200 W Gilman St, Madison, WI, 53703",-89.391764,43.076064,Handgun,1,1,1,1,1,1,1,1,1,1,
"200 S Carroll St, Madison, WI, 53703",-89.38338,43.072343,Handgun,1,1,1,1,1,1,1,1,1,1,
"600 S Gammon Rd, Madison, WI, 53719",-89.503325,43.052573,Handgun,1,1,1,1,1,1,1,1,1,1,
"500 Moorland Rd, Madison, WI, 53713",-89.378401,43.035652,Firearm(Type not stated),1,1,1,1,1,1,1,1,1,1,
"4400 White Aspen Rd, Madison, WI, 53704",-89.391605,43.142284,Rifle,0,1,1,1,1,1,1,1,1,1,
"300 E Gorham St, Madison, WI, 53703",-89.384109,43.080183,Firearm(Type not stated),0,1,1,1,1,1,1,1,1,1,
"1400 Loftsgordon Ave, Madison, WI, 53704",-89.357926,43.115389,Pellet/BB Gun (Pistols & Rifles),0,1,1,1,1,1,1,1,1,1,
"200 N Thompson Dr, Madison, WI, 53714",-89.292269,43.102107,Pellet/BB Gun (Pistols & Rifles),0,1,1,1,1,1,1,1,1,1,
"300 N Thompson Dr, Madison, WI, 53714",-89.297876,43.102508,Pellet/BB Gun (Pistols & Rifles),0,1,1,1,1,1,1,1,1,1,
"1 Obrien CT, Madison, WI, 53714",-89.288703,43.100209,Handgun,0,1,1,1,1,1,1,1,1,1,
"1500 Iowa Dr, Madison, WI, 53704",-89.370134,43.141417,Handgun,0,1,1,1,1,1,1,1,1,1,
"100 N 1st St, Madison, WI, 53704",-89.360529,43.092974,Handgun,0,1,1,1,1,1,1,1,1,1,
"1300 Fish Hatchery Rd, Madison, WI, 53715",-89.399113,43.053036,Pellet/BB Gun (Pistols & Rifles),0,1,1,1,1,1,1,1,1,1,
"4200 W Beltline Hwy, Madison, WI, 53711",-89.443719,43.034488,Handgun,0,0,1,1,1,1,1,1,1,1,
"200 N Thompson Dr, Madison, WI, 53714",-89.292269,43.102107,Shotgun,0,0,1,1,1,1,1,1,1,1,
"200 N Thompson Dr, Madison, WI, 53714",-89.292269,43.102107,Shotgun,0,0,1,1,1,1,1,1,1,1,
"1900 Whenona Dr, Madison, WI, 53711",-89.448653,43.033603,Handgun,0,0,1,1,1,1,1,1,1,1,
"2200 Allied Dr, Madison, WI, 53711",-89.459335,43.030117,Handgun,0,0,1,1,1,1,1,1,1,1,
"4500 Sycamore Ave, Madison, WI, 53704",-89.305062,43.11415,Pellet/BB Gun (Pistols & Rifles),0,0,1,1,1,1,1,1,1,1,
"600 S Gammon Rd, Madison, WI, 53719",-89.503325,43.052573,Handgun,0,0,1,1,1,1,1,1,1,1,
"2500 Myrtle St, Madison, WI, 53704",-89.351115,43.110064,Handgun,0,0,1,1,1,1,1,1,1,1,
"1400 Loreen Dr, Madison, WI, 53711",-89.487514,43.03753,Handgun,0,0,1,1,1,1,1,1,1,1,
"2700 S Fish Hatchery Rd, Madison, WI, 53711",-89.427845,43.001308,Pellet/BB Gun (Pistols & Rifles),0,0,1,1,1,1,1,1,1,1,
"400 Grand Canyon Dr, Madison, WI, 53719",-89.497154,43.06067,Handgun,0,0,1,1,1,1,1,1,1,1,
"100 N Park St, Madison, WI, 53715",-89.401088,43.069383,Handgun,0,0,1,1,1,1,1,1,1,1,
"4300 Nakoosa Trl, Madison, WI, 53714",-89.309897,43.110217,Pellet/BB Gun (Pistols & Rifles),0,0,1,1,1,1,1,1,1,1,
"200 Meadowlark Dr, Madison, WI, 53714",-89.298267,43.095476,Pellet/BB Gun (Pistols & Rifles),0,0,1,1,1,1,1,1,1,1,
"4300 Nakoosa Trl, Madison, WI, 53714",-89.309897,43.110217,Pellet/BB Gun (Pistols & Rifles),0,0,1,1,1,1,1,1,1,1,
"3800 Milwaukee St, Madison, WI, 53714",-89.319352,43.098365,Handgun,0,0,1,1,1,1,1,1,1,1,
